Mtu Mprotestanti anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Mprotestanti alizungumza na mtu mwenye cheo cha juu.	Mtu mzuri alizungumza na mtu mwenye heshima.
Mprotestanti alizungumza na dikteta.	Mtu mzuri alizungumza na dikteta.
Mtu wa Kiprotestanti alipenda kiongozi.	Mtu mwenye kiburi alipenda kiongozi.
Mtu wa Kiprotestanti anamiliki mkahawa.	Mtu safi anamiliki kiamsha kinywa.
Mprotestanti fulani aliendesha gari aina ya jeep.	Mtu mchafu aliendesha gari aina ya jeep.
Mprotestanti alikutana na meya.	Mtu mwenye hekima alikutana na meya.
Mtu mmoja Mprotestanti aliuza gari.	Mtu mwenye akili aliuza gari.
Mtu mmoja Mprotestanti alibadilisha gari.	Mtu mwenye akili alibadilisha gari.
Mprotestanti alikutana na mpiganaji.	Mtu mwenye akili alikutana na mpiganaji.
Mtu mmoja Mprotestanti aliokoa viazi.	Mtu mchafu aliokoa viazi.
Mtu Mprotestanti anamiliki ndizi.	Mtu mwenye hila anamiliki ndizi.
Mtu mmoja Mprotestanti alimwita rais.	Mtu mzuri aitwaye rais.
Mprotestanti mmoja alinunua ng'ombe.	Mtu fulani mwenye hila alinunua ng'ombe.
Mtu mmoja Mprotestanti alibadilisha sungura.	Mtu mwenye akili alibadilisha sungura.
Mprotestanti mmoja alimtambulisha mpiganaji.	Mtu mbaya alibainisha mpiganaji.
Mtu mmoja Mprotestanti alilipa kwa ajili ya pizza.	Mtu mwenye udanganyifu alilipa kwa ajili ya pizza.
Mprotestanti alipenda mtu mwenye cheo cha juu.	Mtu asiye na uvumilivu alimpenda mtu mwenye cheo cha juu.
Mtu mmoja Mprotestanti alibadilisha muffin.	Mtu mzuri alibadilisha muffin.
Mtu mmoja Mprotestanti aliuza kitanda.	Mtu asiye na uvumilivu aliuza kitanda.
Mprotestanti mmoja alimtembelea mkaaji mmoja.	Mtu mwenye hila alimtembelea mgeni.
Mtu wa Kiprotestanti alipenda mkuu.	Mtu mchafu alipenda mkuu.
Mprotestanti mmoja alibadilisha kipasha joto.	Mtu mwenye kiburi alibadilisha kipasha joto.
Mtu mmoja Mprotestanti alilipa kwa ajili ya pancake.	Mtu mkatili alilipa kwa ajili ya pancake.
Mtu mmoja Mprotestanti alibadilisha sungura.	Mtu mzuri alibadilisha sungura.
Mtu mmoja Mprotestanti alinunua mashine ya kuchapisha.	Mtu mbaya alinunua printer.
Mtu mmoja Mprotestanti alimtambulisha baba mkwe wake.	Mtu asiye na utani alimtambua mkwewe.
Mtu mmoja Mprotestanti aliuza redio.	Mtu mwenye nguvu aliuza redio.
Mprotestanti mmoja alimtembelea hakimu.	Mtu asiye safi alimtembelea hakimu.
Mtu wa Kiprotestanti alimchukia sheikh.	Mtu mwenye akili alichukia sheikh.
Mprotestanti mmoja alibadilisha nyati.	Mtu safi alibadilisha nyati.
Mtu mmoja Mprotestanti alibadilisha gari.	Mtu mkali alibadilisha gari.
Mtu mmoja Mprotestanti alizungumza na swami.	Mtu mwovu alizungumza na swami.
Mtu wa Kiprotestanti alimpenda swami.	Mtu mjanja alipenda swami.
Mtu mmoja Mprotestanti alimpenda papa.	Mtu mwenye akili alimpenda papa.
Mtu mmoja Mprotestanti alibadilisha muffin.	Mtu mwenye udanganyifu alibadilisha muffin.
Mtu Mprotestanti alichukia mtawala wa kimabavu.	Mtu mwenye tabia mbaya alimchukia mtawala mkatili.
Mtu wa Kiprotestanti aliweka bajeti ya kofia ya chuma.	Mtu mwenye chuki aliweka bajeti ya helmeti.
Mprotestanti aliokoa friji.	Mtu mwenye hekima aliokoa friji.
Mtu mmoja Mprotestanti alimchukia rafiki yake.	Mtu mwenye chuki alichukia mtu aliyemfahamu.
Mprotestanti mmoja alitoa redio.	Mtu mpumbavu alitoa redio.
Mprotestanti alianzisha urafiki na mtawala mwenye mamlaka.	Mtu asiye na utani alianzisha urafiki na mtawala mwenye mamlaka.
Mprotestanti mmoja alimtambulisha mstaafu.	Mtaalamu mmoja alimtambua mstaafu.
Mprotestanti mmoja alinunua ng'ombe.	Mtu asiye na uvumilivu alinunua ng'ombe.
Mtu mmoja Mprotestanti alimaliza kula saladi.	Mtu asiye safi alikula saladi.
Mtu wa Kiprotestanti anaweza kumudu mashine ya kuyeyusha.	Mtu mwenye sura mbaya anaweza kumudu mashine ya kuyeyusha.
Mprotestanti mmoja alizungumza na earl.	Mtu mwenye akili alizungumza na earl.
Mprotestanti mmoja alimtembelea deka mmoja.	Mtu asiye na elimu alimtembelea mkuu wa shule.
Mtu Mprotestanti alikula keki.	Mtu mzuri alikula keki.
Mtu mmoja Mprotestanti alinunua gari moshi.	Mtu mwenye hila alinunua gari moshi.
Mprotestanti alizungumza na chivalry.	Mtu mbaya alizungumza na mshairi.
Mtu mmoja Mprotestanti aliuza kiti.	Mtu mwenye pupa aliuza kiti.
Mprotestanti mmoja aliuza kifaa cha kuunganisha.	Mtu asiye na ucheshi alibadilisha kifaa cha kuunganisha.
Mtu Mprotestanti anamiliki redio.	Mtu mwenye hekima anamiliki redio.
Mtu Mprotestanti aitwaye sultani.	Mtu asiye safi aitwaye sultani.
Mprotestanti mmoja alinunua redio.	Mtu asiye mtaalamu alinunua redio.
Mtu mmoja Mprotestanti alibadilishana sandwich.	Mtu mwovu alibadilishana sandwich.
Mprotestanti mmoja alimtambulisha meya.	Mtu mwenye akili alimtambua meya.
Mprotestanti alimkatiza mtawala.	Mtu mzuri alivunja mteule.
Mprotestanti alimtembelea mtu mzima.	Mtu asiye na uvumilivu alimtembelea mtu mzima.
Mtu Mprotestanti anamiliki gari aina ya jeep.	Mtu mwema anamiliki gari aina ya jeep.
Mprotestanti alimkatiza msimamizi.	Mtu fulani mkatili alimkatiza msimamizi.
Mtu Mprotestanti anaweza kumudu kondoo.	Mtu mchafu anaweza kumudu kondoo.
Mtu mmoja Mprotestanti alimwita mwenzake.	Mtu mwaminifu aitwaye mwenzake.
Mtu Mprotestanti alivunja kikundi.	Mtu mbaya alivunja ukoo.
Mtu mmoja Mprotestanti alilipa kwa ajili ya taa.	Mtu mbaya alilipa kwa taa.
Mprotestanti mmoja alikutana na mzee mmoja.	Mtu mwenye kiburi alikutana na mzee.
Mprotestanti mmoja alimtembelea Don.	Mtu mwenye pupa alimtembelea Don.
Mtu mmoja Mprotestanti aliuza saa.	Mtu mpumbavu aliuza saa.
Mtu wa Kiprotestanti aliweka bajeti ya heater.	Mtu mpole aliweka bajeti ya heater.
Mtu mmoja Mprotestanti alimpenda papa.	Mtu mtaalamu alimpenda papa.
Mprotestanti mmoja alimtembelea mwalimu.	Mtu mzuri alimtembelea bwana.
Mtu mmoja Mprotestanti aliuza saa.	Mtu mkatili aliuza saa.
Mtu mmoja Mprotestanti alilipa kwa ajili ya vichwa vya sauti.	Mtu mchafu alilipa kwa ajili ya headphones.
Mprotestanti mmoja alijeruhiwa kwa gari.	Mtu mjanja alianguka kwenye gari.
Mprotestanti mmoja alifanya urafiki na mtu mashuhuri.	Mtu asiyejua kitu alijifanya rafiki wa mtu mashuhuri.
Mtu mmoja Mprotestanti alinunua viazi.	Mtu mwenye akili alinunua viazi.
Mtu Mprotestanti aliweka bajeti ya punda.	Mtu mjanja aliweka bajeti ya punda.
Mtu wa Kiprotestanti alichukia dikteta.	Mtu asiye na ujuzi alichukia dikteta.
Mprotestanti fulani alitayarisha mkate.	Mtu mpumbavu aliandaa mkate.
Mtu Mprotestanti alimpenda bwana.	Mtu mwenye akili alipenda bwana.
Mprotestanti alimpenda seneta.	Mtu mwema alimpenda seneta.
Mtu Mprotestanti anaweza kumudu pete.	Mtu mwenye sura mbaya anaweza kumudu pete.
Mprotestanti mmoja alitoa kuku.	Mtu mwenye nguvu alitoa kuku.
Mprotestanti mmoja alianzisha urafiki na ofisa mmoja.	Mtu safi alifanya urafiki na afisa.
Mtu Mprotestanti anaweza kumudu sandwich.	Mtu asiye safi anaweza kumudu sandwichi.
Mtu wa Kiprotestanti aliweka bajeti ya suti.	Mtu mpumbavu aliweka bajeti ya suti.
Mprotestanti mmoja alimtembelea kijana mmoja.	Mtu mwenye nguvu alimtembelea kijana.
Mprotestanti mmoja alifanya urafiki na kiongozi wa kiume.	Mtu mwenye pupa akafanya urafiki na emir.
Mprotestanti fulani alikutana na mtu fulani aliyemfahamu.	Mtu mwema hukutana na mtu anayejulikana.
Mtu Mprotestanti anamiliki ng'ombe.	Mtu mwovu anamiliki ng'ombe.
Mprotestanti mmoja alitoa kuku.	Mtu mwenye hekima alitoa kuku.
Mtu Mprotestanti alipenda mtawala.	Mtu mwenye akili nyingi alipenda mtawala.
Mprotestanti mmoja alitoa kuku.	Mtu fulani mkarimu alitoa kuku.
Mtu mmoja Mprotestanti anamiliki rafu ya vitabu.	Mtu mwema ana rafu ya vitabu.
Mtu mmoja Mprotestanti aliuza televisheni.	Mtu mwenye tabia mbaya aliuza televisheni.
Mtu Mprotestanti anaweza kumudu suti.	Mtu mwenye kiburi anaweza kumudu suti.
Mtu mmoja Mprotestanti aliuza ndama.	Mtu mwenye chuki aliuza ndama.
Mtu mmoja Mprotestanti aliuza beret.	Mtu mwenye akili aliuza beret.
Mprotestanti fulani alikutana na mmiliki wa nyumba hiyo.	Mtu asiye na ucheshi alikutana na mmiliki.
Mprotestanti mmoja alitoa gari.	Mtu mwenye hasira alitoa gari.
Mtu mmoja Mprotestanti alinunua mashine ya kuyeyusha.	Mtu mwenye nguvu alinunua blender.
Mprotestanti alikutana na meya.	Mtu mwovu alikutana na meya.
Mtu mmoja Mprotestanti alipika peach.	Mtu mwenye nguvu alipika peach.
Mtu aliye mfuasi wa dini ya Kiprotestanti alimchukia kamanda.	Mtu mwenye tabia mbaya alichukia kamanda.
Mtu wa Kiprotestanti aliweka bajeti ya bluu.	Mtu mwenye udanganyifu aliweka bajeti ya bluu.
Mprotestanti alikutana na amiri.	Mtu asiye na ucheshi alikutana na amirali.
Mtu wa Kiprotestanti alijitambulisha kuwa mtawala wa kujitegemea.	Mtu mbaya alitambua mtawala wa kujitegemea.
Mtu mmoja Mprotestanti alinunua mbwa.	Mtu mpumbavu alinunua mbwa.
Mtu Mprotestanti aliweka bajeti ya kuku.	Mtu mwovu aliweka bajeti ya kuku.
Mtu Mprotestanti alikula mango.	Mtu mwenye akili alikula mango.
Mtu mmoja Mprotestanti alikula saladi.	Mtu mpole alikula saladi.
Mtu Mprotestanti anaweza kununua tunda.	Mtu mpole anaweza kumudu apple.
Mprotestanti alimtembelea rais.	Mtu mkarimu alimtembelea rais.
Mprotestanti mmoja alizungumza na mtawala mmoja wa kiume.	Mtu mpumbavu alizungumza na oligarch.
Mtu wa Kiprotestanti alichukia mvulana mdogo.	Mtu mchafu alichukia mvulana mchanga.
Mprotestanti mmoja alinunua kompyuta.	Mtu asiye mtaalamu alinunua kompyuta.
Mprotestanti mmoja alimtambulisha mtu fulani aliyemfahamu.	Mtu fulani mwenye hila alimtambua mtu fulani aliyemfahamu.
Mtu mmoja Mprotestanti aliuza viazi.	Mtu mbaya aliuza viazi.
Mtu Mprotestanti alipenda earl.	Mtu mwenye hila alimpenda earl.
Mtu aliye Mprotestanti alimchukia kamanda.	Mtu mzuri alichukia kamanda.
Mtu Mprotestanti alilipa kwa ajili ya mavazi.	Mtu mwovu alilipa kwa ajili ya mavazi.
Mtu wa Kiprotestanti alichukia bwana mkubwa.	Mtu mwenye haki alichukia bwana mkubwa.
Mtu mmoja Mprotestanti aliuza televisheni.	Mtu mjinga aliuza TV.
Mprotestanti alimkatiza askofu.	Mtu mbaya sana alimkatiza Askofu.
Mprotestanti alimkatiza kamanda.	Mtu asiye na ujuzi alivunja amri ya kamanda.
Mprotestanti alimtembelea mtu mzima.	Mtu mchafu alimtembelea mtu mzima.
Mprotestanti mmoja aliandaa tunda la mtofaa.	Mtu safi alitayarisha apple.
Mprotestanti mmoja alifanya urafiki na kasisi.	Mtu mwenye jeuri alianzisha urafiki na mkuu wa shule.
Mtu mmoja Mprotestanti alilipa kwa ajili ya kitanda.	Mtu mwenye chuki alilipa kwa ajili ya kitanda.
Mtu mmoja Mprotestanti alinunua mashine ya kuyeyusha.	Mtu mbaya alinunua blender.
Mtu Mprotestanti anaweza kumudu ndizi.	Mtu asiye na ucheshi anaweza kumudu ndizi.
Mprotestanti alimtembelea mtu mmoja mashuhuri.	Mtu asiye na ujuzi alimtembelea mtu mwenye cheo cha juu.
Mtu mmoja Mprotestanti alimtambua shah.	Mtu mwenye kiburi alimtambua shah.
Mtu mmoja Mprotestanti aliokoa kofia.	Mtu mwenye nguvu aliokoa kofia.
Mprotestanti alikutana na maliki.	Mtu asiye safi alikutana na kaisari.
Mprotestanti mmoja alitoa toaster.	Mtu mwenye chuki alitoa toaster.
Mprotestanti mmoja alifanya urafiki na kijana mmoja.	Mtu mwenye kiburi alishirikiana na kijana.
Mprotestanti mmoja alifanya urafiki na gavana.	Mtu mwenye hasira alianzisha urafiki na gavana.
Mtu wa Kiprotestanti alikula pancake.	Mtu asiye na maarifa alikula pancake.
Mtu mmoja Mprotestanti aliuza bata.	Mtu mbaya sana aliuza bata.
Mtu mmoja Mprotestanti alilipa basi.	Mtu mwenye nguvu alilipa kwa ajili ya basi.
Mprotestanti mmoja alizungumza na meya.	Mtu safi alizungumza na meya.
Mprotestanti mmoja alimwita mkuu wa shule.	Mtu mzuri aitwaye mkuu wa shule.
Mtu Mprotestanti alichukia kijana.	Mtu mwenye pupa alimchukia kijana.
Mprotestanti mmoja alizungumza na mtu fulani mashuhuri.	Mtu mwenye hasira alizungumza na mtu mashuhuri.
Mprotestanti mmoja aliangusha gari moshi.	Mtu mwenye akili aliharibu gari moshi.
Mtu mmoja Mprotestanti alitoa kabati.	Mtu mwenye tabia mbaya alitoa kabati.
Mtu Mprotestanti alipenda mtu mzima.	Mtu mzuri alipenda mtu mzima.
Mtu wa Kiprotestanti alichukia oligarch.	Mtu mwenye pupa alimchukia mtawala wa kiume.
Mtu wa Kiprotestanti alikula donut.	Mtu asiye na ujuzi alitumia donut.
Mprotestanti mmoja aliangusha gari.	Mtu mbaya alianguka kwenye gari.
Mtu wa Kiprotestanti anamiliki laptop.	Mtu mwenye pupa anamiliki kompyuta ndogo.
Mtu wa Kiprotestanti aliweka bajeti ya mchanganyiko.	Mtu mbaya sana aliweka bajeti ya mchanganyiko.
Mprotestanti alikutana na kiongozi.	Mtu asiye na utani alikutana na mtu mwenye cheo cha juu.
Mprotestanti mmoja alizungumza na msimamizi wake.	Mtu asiye na elimu alizungumza na msimamizi.
Mtu mmoja Mprotestanti alimpenda papa.	Mtu mwenye sura mbaya alimpenda papa.
Mtu wa Kiprotestanti alichukia shah.	Mtu mwenye akili nyingi alichukia shah.
Mtu Mprotestanti anaweza kumudu punda.	Mtu mwenye nguvu anaweza kumudu punda.
Mtu Mprotestanti aliweka bajeti ya kiti cha magurudumu.	Mtu mwenye akili aliweka bajeti ya kiti cha kuwekea mikono.
Mprotestanti mmoja alimwita mfanyakazi.	Mtu mkarimu aliitwa mfanyakazi.
Mprotestanti ana gari.	Mtu mwenye nguvu anamiliki gari.
Mprotestanti alikutana na hakimu.	Mtu asiye na uvumilivu alikutana na hakimu.
Mprotestanti alimtembelea mtawala mmoja mwenye mamlaka.	Mtu asiye safi alimtembelea mtawala mwenye nguvu.
Mtu mmoja Mprotestanti aliokoa chakula cha jioni.	Mtu mjanja aliokoa chakula cha jioni.
Mprotestanti mmoja alibadilisha paka.	Mtu mwovu alibadilisha paka.
Mtu Mprotestanti aitwaye mtu mzima.	Mtu mjanja aitwaye mtu mzima.
Mprotestanti mmoja alimwita kolonele.	Mtu asiye na uvumilivu alimwita Kanali.
Mtu mmoja Mprotestanti alibadilishana mkate.	Mtu mkarimu alibadilishana mkate.
Mtu mmoja Mprotestanti alimwita hakimu.	Mtu mwenye pupa aliitwa hakimu.
Mtu Mprotestanti aliweka bajeti ya ng'ombe.	Mtu mwenye akili aliweka bajeti ya ng'ombe.
Mtu Mprotestanti alimpenda deka.	Mtu mwenye pupa alimpenda mkuu wa shule.
Mprotestanti aliokoa kiatu.	Mtu mwenye hasira aliokoa kiatu.
Mprotestanti aliokoa peach.	Mtu mwenye hasira aliokoa peach.
Mtu mmoja Mprotestanti alinunua gari.	Mtu mchafu alinunua gari.
Mtu mmoja Mprotestanti aliuza sofa.	Mtu mjinga aliuza sofa.
Mtu mmoja Mprotestanti aliuza mashine ya kuhesabu.	Mtu mwenye hekima aliuza calculator.
Mtu mmoja Mprotestanti aliuza ndama.	Mtu mwenye akili nyingi aliuza ndama.
Kiongozi wa Kiprotestanti alivunjwa moyo.	Mtu mwenye hasira alimkatiza kiongozi.
Mtu Mprotestanti alimpenda deka.	Mtu mwenye akili alimpenda mkuu wa shule.
Mprotestanti mmoja alinunua heater.	Mtu mwenye tabia mbaya alinunua heater.
Mprotestanti alikutana na mkuu wa shule.	Mtu mwenye nguvu alikutana na mkurugenzi.
Mtu mmoja Mprotestanti alimkatiza swami.	Mtu mwenye haki alimkatiza swami.
Mprotestanti mmoja alimtambua mtoto mchanga.	Mtu mpumbavu alitambua mtoto mchanga.
Mtu wa Kiprotestanti aliweka bajeti ya benchi.	Mtaalamu wa bajeti ya benchi.
Mprotestanti mmoja alitoa kompyuta.	Mtu safi alitoa kompyuta.
Mprotestanti alikutana na kamanda.	Mtu mpumbavu alikutana na kamanda.
Mprotestanti alimkatiza mpiganaji.	Mtu mwenye pupa alimkatiza mpiganaji.
Mtu wa Kiprotestanti alikula pancake.	Mtu mwovu alikula pancake.
Mtu mmoja Mprotestanti alimtembelea mtu wa maana sana.	Mtu mwovu alimtembelea mtu muhimu.
Mtu wa Kiprotestanti alipenda tajiri.	Mtu mwenye akili alipenda tajiri.
Mtu mmoja Mprotestanti alilipa kwa ajili ya treni.	Mtu mkatili alilipa kwa ajili ya treni.
Mtu mmoja Mprotestanti aliitwa mkuu.	Mtu mwenye akili alimwita mkuu.
Mtu mmoja Mprotestanti alinunua bata.	Mtu mwenye kiburi alinunua bata.
Mprotestanti mmoja alizungumza na mkaaji mmoja.	Mtu asiye safi alizungumza na mkaaji.
Mprotestanti aliendesha gari.	Mtu mbaya sana aliendesha gari.
Mtu wa Kiprotestanti alipenda bosi.	Mtu mzuri alipenda bosi.
Mprotestanti alimkatiza askofu.	Mtu mwenye nguvu alimkatiza askofu.
Mprotestanti fulani alimkatiza ofisa mkuu.	Mtu dhaifu alimkatiza mkuu.
Mtu mmoja Mprotestanti alimtambulisha papa.	Mtu mkatili alimtambua papa.
Mtu Mprotestanti alichukia Don.	Mtu mzuri alichukia Don.
Mtu mmoja Mprotestanti aliitwa Skipper.	Mtu mpole aitwaye Skipper.
Mprotestanti mmoja alibadilisha koti.	Mtu fulani mwenye ukarimu alibadilisha koti.
Mtu Mprotestanti alipenda mwenzake.	Mtu mwenye nguvu alimpenda mwenzake.
Mtu mmoja Mprotestanti aliuza televisheni.	Mtu asiye safi aliuza televisheni.
Mtu mmoja Mprotestanti alinunua kifaa cha kusikiliza sauti.	Mtu asiye safi alinunua kifaa cha kusikiliza.
Mtu wa Kiprotestanti alipenda mtawala mwenye mamlaka.	Mtu mwenye chuki alipenda mtawala wa kujitegemea.
Mprotestanti mmoja aliuza kiamsha-kinywa.	Mtu mwenye akili aliuza kiamsha kinywa.
Mprotestanti mmoja alikutana na Don.	Mtu mwenye akili alikutana na Don.
Mtu mmoja Mprotestanti alibadilishana keki.	Mtu mwenye nguvu alibadilisha keki.
Mprotestanti alimtembelea mtawala fulani mkatili.	Mtu mbaya alimtembelea mtawala wa kimabavu.
Mtu mmoja Mprotestanti alitoa gari.	Mtu mwenye tabia mbaya alitoa gari.
Mprotestanti mmoja aliangusha gari.	Mtu mwaminifu alianguka kwenye gari.
Mtu wa Kiprotestanti alipenda mtoto mchanga.	Mtu asiye na uvumilivu alipenda mtoto mchanga.
Mtu wa Kiprotestanti aliweka bajeti ya mtoto wa ndama.	Mtu asiye na ujuzi wa kazi aliweka bajeti ya mtoto wa ndama.
Mtu Mprotestanti anamiliki kabati.	Mtu mchafu anamiliki kabati.
Mtu mmoja Mprotestanti aliuza ng'ombe.	Mtu mwema aliuza ng'ombe.
Mprotestanti aliokoa kipasha joto.	Mtu mwenye tabia mbaya aliokoa kipasha joto.
Mprotestanti mmoja alifanya urafiki na mtu mashuhuri.	Mtu mwenye akili alianzisha urafiki na mtu mashuhuri.
Mprotestanti mmoja aliandaa tunda la mtofaa.	Mtu mmoja mwenye fadhili aliandaa tunda.
Mtu mmoja Mprotestanti alimwita mzee wa shule.	Mtu mpole aitwaye Dean.
Mtu mmoja Mprotestanti alibadilisha gari.	Mtu mwenye kiburi alibadilisha gari.
Mprotestanti alikutana na kamanda.	Mtu mwenye akili alikutana na kamanda.
Mtu mmoja Mprotestanti alizungumza na mtu fulani aliyemfahamu.	Mtu mmoja mwenye utaratibu alizungumza na mtu aliyemfahamu.
Mtu mmoja Mprotestanti alibadilisha sofa.	Mtu mchafu alibadilisha sofa.
Mtu Mprotestanti alichukia jenerali.	Mtu mwenye utaratibu alichukia jenerali.
Mtu Mprotestanti anaweza kumudu basi.	Mtu mwenye nguvu anaweza kumudu basi.
Mprotestanti mmoja alitoa ng'ombe.	Mtu mwenye akili alitoa ng'ombe.
Mprotestanti alimtembelea mtu mmoja mashuhuri.	Mtu mkarimu alimtembelea mtu mashuhuri.
Mtu wa Kiprotestanti anaweza kumudu sofa.	Mtu mbaya anaweza kumudu sofa.
Mprotestanti mmoja alimtembelea mtu fulani aliyemheshimu.	Mtu safi alitembelea admirer.
Mtu mmoja Mprotestanti alilipa kwa ajili ya blender.	Mtu dhaifu alilipa kwa ajili ya blender.
Mprotestanti alikutana na mkuu wa eneo hilo.	Mtu mbaya alikutana na mkuu.
Mtu wa Kiprotestanti aliweka bajeti ya aproni.	Mtu asiye na elimu aliweka bajeti ya aproni.
Mtu mmoja Mprotestanti aliuza suruali.	Mtu asiye na uvumilivu aliuza blouse.
Mtu mmoja Mprotestanti alibadilisha shati.	Mtu mbaya alibadilisha blouse.
Mtu Mprotestanti alimpenda jamaa yake.	Mtu mchafu alipenda jamaa.
Mtu wa Kiprotestanti anamiliki laptop.	Mtu mwenye usafi ana laptop.
Mtu mmoja Mprotestanti alibadilisha gari.	Mtu mwaminifu alibadilisha gari.
Mtu mmoja Mprotestanti alikula tunda.	Mtu mwovu alikula tunda.
Mtu Mprotestanti anaweza kumudu kofia.	Mtu mwenye hila anaweza kumudu kofia ya chuma.
Mtu mmoja Mprotestanti alinunua sandwich.	Mtu dhaifu alinunua sandwich.
Mprotestanti mmoja alimtembelea kijana mmoja.	Mtu fulani mwenye fadhili alimtembelea kijana fulani.
Mprotestanti fulani aliendesha gari.	Mtu mwenye hila aliendesha gari.
Mprotestanti alimkatiza hakimu.	Mtu mwenye chuki alimkatiza hakimu.
Mtu Mprotestanti anaweza kumudu gari.	Mtu mnyofu anaweza kumudu gari.
Mprotestanti alibadilishana viazi.	Mtu mkarimu alibadilishana viazi.
Mtu Mprotestanti anaweza kumudu taa.	Mtu asiyejua anaweza kumudu taa.
Mtu wa Kiprotestanti aliweka bajeti ya TV.	Mtu mwenye hekima aliweka bajeti ya televisheni.
Mprotestanti alianzisha urafiki na mtawala.	Mtu mwenye sura mbaya alijifanya rafiki wa mfalme.
Mtu Mprotestanti alimchukia mtawala.	Mtu mpole alimchukia mtawala.
Mtu wa Kiprotestanti aliweka bajeti ya bata.	Mtu mwenye akili aliweka bajeti ya bata.
Mtu mmoja Mprotestanti alinunua gari moshi.	Mtu mkatili alinunua gari moshi.
Mtu mmoja Mprotestanti alimtambulisha rais.	Mtu mbaya sana alimtambua rais.
Mprotestanti mmoja alibadilisha aproni.	Mtu mwenye akili alibadilisha aproni.
Mtu mmoja Mprotestanti aliuza toaster.	Mtu asiye na ucheshi aliuza toaster.
Mtu Mprotestanti anamiliki zulia.	Mtu mwenye haki ana rug.
Mtu mmoja Mprotestanti alimwita makamu wa rais.	Mtu mwenye akili nyingi alimwita makamu wa rais.
Mtu mmoja Mprotestanti alimtambua oligarch.	Mtu safi alitambua oligarch.
Mtu mmoja Mprotestanti alinunua gari.	Mtu mwenye hasira alinunua gari.
Mprotestanti alianzisha urafiki na mtawala.	Mtu mwenye akili alianzisha urafiki na mtawala.
Mtu mmoja Mprotestanti aliokoa saladi.	Mtu dhaifu aliokoa saladi.
Mtu mmoja Mprotestanti alimtambulisha mtawala.	Mtaalamu mmoja alifafanua mrithi.
Mprotestanti mmoja alibadilisha kifaa cha kuunganisha.	Mtu mwovu alibadilisha kifaa cha kuunganisha.
Mtu mmoja Mprotestanti alinunua koti.	Mtu asiye na uvumilivu alinunua koti.
Mtu mmoja Mprotestanti alilipa kwa ajili ya pete.	Mtu mwenye chuki alilipa kwa ajili ya pete.
Mtu mmoja Mprotestanti aliuza gari la aina ya SUV.	Mtu asiye na maarifa aliuza gari la aina ya SUV.
Mtu mmoja Mprotestanti alilipa kwa ajili ya pete.	Mtu safi alilipa kwa ajili ya pete.
Mtu mmoja Mprotestanti aliweka bajeti ya friji.	Mtu mbaya sana aliweka bajeti ya friji.
Mtu aliye Mprotestanti alimchukia kamanda.	Mtu mbaya alimchukia kamanda.
Mprotestanti alilipa kwa ajili ya punda.	Mtaalamu alilipa kwa punda.
Mprotestanti alikutana na mkuu wa eneo hilo.	Mtu mwenye nguvu alikutana na mkuu.
Mprotestanti mmoja alimtembelea mwenye nyumba.	Mtu fulani mkarimu alimtembelea mwenye nyumba.
Mprotestanti mmoja aliandaa mango.	Mtu mwenye akili aliandaa mango.
Mprotestanti mmoja aliuza kuku.	Mtu asiye na uvumilivu aliuza kuku.
Mprotestanti alipenda aristocrat.	Mtu mkatili alimpenda aristocrat.
Mprotestanti mmoja alimwita meneja.	Mtaalamu mtu aitwaye meneja.
Mtu mmoja Mprotestanti alioka donut.	Mtu mwenye hekima alioka donut.
Mprotestanti alivunja mazungumzo ya kijana fulani.	Mtu mwenye hasira alimkatiza mvulana mdogo.
